127.0.0.1 - - [16/Jul/2023:20:17:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:17:58 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:01 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:05 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:17 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:17 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:20 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:20 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:20 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:20 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:20 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:23 +0530] "GET /ORS_Project4/doc/com/rays/pro4/bean/package-summary.html HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:23 +0530] "GET /ORS_Project4/img/Error.jpg HTTP/1.1" 200 52653
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:23 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:25 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:27 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/package-summary.html HTTP/1.1" 200 12649
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:27 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:27 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:27 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:27 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:27 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:29 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/ChangePasswordCtl.html HTTP/1.1" 200 21738
0:0:0:0:0:0:0:1 - - [16/Jul/2023:20:18:30 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
